# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	1	2333	+							FHD68_RS14095	2333		partial;old_locus_tag=FHD68_14095
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	1	2333	+	WP_139086051.1	WP_139086051.1		DUF3320 domain-containing protein			FHD68_RS14095	2333	776	partial
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	2364	3047	+							FHD68_RS14100	684		old_locus_tag=FHD68_14100
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	2364	3047	+	WP_127898967.1	WP_127898967.1		HAD family hydrolase			FHD68_RS14100	684	227	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	3044	4000	+							FHD68_RS14105	957		old_locus_tag=FHD68_14105
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	3044	4000	+	WP_046001030.1	WP_046001030.1		sugar-binding transcriptional regulator			FHD68_RS14105	957	318	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	4133	5458	+							FHD68_RS14110	1326		old_locus_tag=FHD68_14110
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	4133	5458	+	WP_127898966.1	WP_127898966.1		sugar ABC transporter substrate-binding protein			FHD68_RS14110	1326	441	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	5527	6396	+							FHD68_RS14115	870		old_locus_tag=FHD68_14115
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	5527	6396	+	WP_046001028.1	WP_046001028.1		sugar ABC transporter permease			FHD68_RS14115	870	289	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	6407	7231	+							FHD68_RS14120	825		old_locus_tag=FHD68_14120
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	6407	7231	+	WP_045982117.1	WP_045982117.1		carbohydrate ABC transporter permease			FHD68_RS14120	825	274	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	7242	8246	+							FHD68_RS14125	1005		old_locus_tag=FHD68_14125
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	7242	8246	+	WP_045982118.1	WP_045982118.1		ABC transporter ATP-binding protein			FHD68_RS14125	1005	334	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	8243	9013	+							FHD68_RS14130	771		old_locus_tag=FHD68_14130
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	8243	9013	+	WP_127898964.1	WP_127898964.1		L-iditol 2-dehydrogenase			FHD68_RS14130	771	256	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	9095	10576	+							FHD68_RS14135	1482		old_locus_tag=FHD68_14135
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	9095	10576	+	WP_127898963.1	WP_127898963.1		mannitol dehydrogenase family protein			FHD68_RS14135	1482	493	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	10549	11790	-							FHD68_RS14140	1242		old_locus_tag=FHD68_14140
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	10549	11790	-	WP_127898962.1	WP_127898962.1		ribulose 1,5-bisphosphate carboxylase			FHD68_RS14140	1242	413	
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	11787	12257	-							FHD68_RS14145	471		partial;pseudo;old_locus_tag=FHD68_14145
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000101.1	11787	12257	-				four-carbon acid sugar kinase family protein			FHD68_RS14145	471		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	68	1573	-							FHD68_RS14150	1506		old_locus_tag=FHD68_14150
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	68	1573	-	WP_139086053.1	WP_139086053.1		ABC transporter substrate-binding protein			FHD68_RS14150	1506	501	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	1795	2223	+							FHD68_RS14155	429		old_locus_tag=FHD68_14155
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	1795	2223	+	WP_045983896.1	WP_045983896.1		MarR family transcriptional regulator			FHD68_RS14155	429	142	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	2220	3827	+							FHD68_RS14160	1608		old_locus_tag=FHD68_14160
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	2220	3827	+	WP_139086055.1	WP_139086055.1		MFS transporter			FHD68_RS14160	1608	535	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	3824	4849	+							FHD68_RS14165	1026		old_locus_tag=FHD68_14165
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	3824	4849	+	WP_127898987.1	WP_127898987.1		HlyD family secretion protein			FHD68_RS14165	1026	341	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	5115	6044	+							FHD68_RS14170	930		old_locus_tag=FHD68_14170
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	5115	6044	+	WP_127898988.1	WP_127898988.1		bile acid:sodium symporter family protein			FHD68_RS14170	930	309	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	6052	6555	-							FHD68_RS14175	504		old_locus_tag=FHD68_14175
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	6052	6555	-	WP_045984169.1	WP_045984169.1		cell wall hydrolase			FHD68_RS14175	504	167	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	6755	8236	+							FHD68_RS14180	1482		old_locus_tag=FHD68_14180
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	6755	8236	+	WP_127898989.1	WP_127898989.1		sugar ABC transporter ATP-binding protein			FHD68_RS14180	1482	493	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	8326	9294	+							FHD68_RS14185	969		old_locus_tag=FHD68_14185
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	8326	9294	+	WP_046001171.1	WP_046001171.1		sugar ABC transporter permease			FHD68_RS14185	969	322	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	9341	10333	+							FHD68_RS14190	993		old_locus_tag=FHD68_14190
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	9341	10333	+	WP_127898990.1	WP_127898990.1		sugar ABC transporter substrate-binding protein			FHD68_RS14190	993	330	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	10396	11151	+							FHD68_RS14195	756		old_locus_tag=FHD68_14195
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	10396	11151	+	WP_127898991.1	WP_127898991.1		D-threitol dehydrogenase			FHD68_RS14195	756	251	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	11178	12230	+							FHD68_RS14200	1053		partial;old_locus_tag=FHD68_14200
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000102.1	11178	12230	+	WP_139086057.1	WP_139086057.1		dihydroxyacetone kinase subunit DhaK			FHD68_RS14200	1053	351	partial
gene	pseudogene	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	1	531	+							FHD68_RS14205	531		partial;pseudo;old_locus_tag=FHD68_14205
CDS	without_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	1	531	+				phosphotransferase family protein			FHD68_RS14205	531		partial;pseudo
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	528	809	+							FHD68_RS14210	282		old_locus_tag=FHD68_14210
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	528	809	+	WP_127898665.1	WP_127898665.1		hypothetical protein			FHD68_RS14210	282	93	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	812	1567	+							FHD68_RS14215	756		old_locus_tag=FHD68_14215
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	812	1567	+	WP_127899378.1	WP_127899378.1		SDR family oxidoreductase			FHD68_RS14215	756	251	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	1610	2317	-							FHD68_RS14220	708		old_locus_tag=FHD68_14220
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	1610	2317	-	WP_052714600.1	WP_052714600.1		hypothetical protein			FHD68_RS14220	708	235	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	2530	3756	+					trpB		FHD68_RS14225	1227		old_locus_tag=FHD68_14225
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	2530	3756	+	WP_127898664.1	WP_127898664.1		tryptophan synthase subunit beta	trpB		FHD68_RS14225	1227	408	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	3757	4368	-							FHD68_RS14230	612		old_locus_tag=FHD68_14230
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	3757	4368	-	WP_127898663.1	WP_127898663.1		DUF4893 domain-containing protein			FHD68_RS14230	612	203	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	4346	4720	-							FHD68_RS14235	375		old_locus_tag=FHD68_14235
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	4346	4720	-	WP_045999036.1	WP_045999036.1		DUF2237 domain-containing protein			FHD68_RS14235	375	124	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	4769	5767	-							FHD68_RS14240	999		old_locus_tag=FHD68_14240
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	4769	5767	-	WP_127898662.1	WP_127898662.1		DUF2332 domain-containing protein			FHD68_RS14240	999	332	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	5764	6459	-							FHD68_RS14245	696		old_locus_tag=FHD68_14245
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	5764	6459	-	WP_127899377.1	WP_127899377.1		aminoacyl-tRNA hydrolase			FHD68_RS14245	696	231	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	6615	7247	+							FHD68_RS14250	633		old_locus_tag=FHD68_14250
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	6615	7247	+	WP_045981267.1	WP_045981267.1		ATP-dependent Clp protease proteolytic subunit			FHD68_RS14250	633	210	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	7409	8674	+					clpX		FHD68_RS14255	1266		old_locus_tag=FHD68_14255
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	7409	8674	+	WP_045981266.1	WP_045981266.1		ATP-dependent Clp protease ATP-binding subunit ClpX	clpX		FHD68_RS14255	1266	421	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	8758	9132	+							FHD68_RS14260	375		old_locus_tag=FHD68_14260
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	8758	9132	+	WP_045981265.1	WP_045981265.1		NADH:ubiquinone oxidoreductase subunit NDUFA12			FHD68_RS14260	375	124	
gene	protein_coding	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9134	9610	+							FHD68_RS14265	477		old_locus_tag=FHD68_14265
CDS	with_protein	GCF_006151785.1	Primary Assembly	unplaced scaffold		NZ_VDDD01000103.1	9134	9610	+	WP_127898661.1	WP_127898661.1		outer membrane lipid asymmetry maintenance protein MlaD			FHD68_RS14265	477	158	
